Altitude/ft,time_pre/min,exercise_level,time_exposure/min,risk
18000,0,1,10,0
18000,0,1,20,0
18000,0,1,30,0
18000,0,1,40,0
18000,0,1,50,0
18000,0,1,60,0
18000,0,1,70,0
18000,0,1,80,0
18000,0,1,90,0
18000,0,1,100,0
18000,0,1,110,0
18000,0,1,120,0
18000,0,1,130,0
18000,0,1,140,0
18000,0,1,150,0.01
18000,0,1,160,0.01
18000,0,1,170,0.01
18000,0,1,180,0.01
18000,0,1,190,0.01
18000,0,1,200,0.01
18000,0,1,210,0.01
18000,0,1,220,0.01
18000,0,1,230,0.01
18000,0,1,240,0.01
18000,10,1,10,0
18000,10,1,20,0
18000,10,1,30,0
18000,10,1,40,0
18000,10,1,50,0
18000,10,1,60,0
18000,10,1,70,0
18000,10,1,80,0
18000,10,1,90,0
18000,10,1,100,0
18000,10,1,110,0
18000,10,1,120,0
18000,10,1,130,0
18000,10,1,140,0
18000,10,1,150,0
18000,10,1,160,0
18000,10,1,170,0
18000,10,1,180,0
18000,10,1,190,0
18000,10,1,200,0
18000,10,1,210,0.01
18000,10,1,220,0.01
18000,10,1,230,0.01
18000,10,1,240,0.01
18000,30,1,10,0
18000,30,1,20,0
18000,30,1,30,0
18000,30,1,40,0
18000,30,1,50,0
18000,30,1,60,0
18000,30,1,70,0
18000,30,1,80,0
18000,30,1,90,0
18000,30,1,100,0
18000,30,1,110,0
18000,30,1,120,0
18000,30,1,130,0
18000,30,1,140,0
18000,30,1,150,0
18000,30,1,160,0
18000,30,1,170,0
18000,30,1,180,0
18000,30,1,190,0
18000,30,1,200,0
18000,30,1,210,0
18000,30,1,220,0
18000,30,1,230,0
18000,30,1,240,0
18000,75,1,10,0
18000,75,1,20,0
18000,75,1,30,0
18000,75,1,40,0
18000,75,1,50,0
18000,75,1,60,0
18000,75,1,70,0
18000,75,1,80,0
18000,75,1,90,0
18000,75,1,100,0
18000,75,1,110,0
18000,75,1,120,0
18000,75,1,130,0
18000,75,1,140,0
18000,75,1,150,0
18000,75,1,160,0
18000,75,1,170,0
18000,75,1,180,0
18000,75,1,190,0
18000,75,1,200,0
18000,75,1,210,0
18000,75,1,220,0
18000,75,1,230,0
18000,75,1,240,0
20000,0,1,10,0
20000,0,1,20,0
20000,0,1,30,0
20000,0,1,40,0
20000,0,1,50,0
20000,0,1,60,0
20000,0,1,70,0.01
20000,0,1,80,0.01
20000,0,1,90,0.01
20000,0,1,100,0.01
20000,0,1,110,0.01
20000,0,1,120,0.01
20000,0,1,130,0.01
20000,0,1,140,0.02
20000,0,1,150,0.02
20000,0,1,160,0.02
20000,0,1,170,0.02
20000,0,1,180,0.02
20000,0,1,190,0.02
20000,0,1,200,0.03
20000,0,1,210,0.03
20000,0,1,220,0.03
20000,0,1,230,0.03
20000,0,1,240,0.03
20000,20,1,10,0
20000,20,1,20,0
20000,20,1,30,0
20000,20,1,40,0
20000,20,1,50,0
20000,20,1,60,0
20000,20,1,70,0
20000,20,1,80,0
20000,20,1,90,0
20000,20,1,100,0
20000,20,1,110,0
20000,20,1,120,0
20000,20,1,130,0
20000,20,1,140,0.01
20000,20,1,150,0.01
20000,20,1,160,0.01
20000,20,1,170,0.01
20000,20,1,180,0.01
20000,20,1,190,0.01
20000,20,1,200,0.01
20000,20,1,210,0.01
20000,20,1,220,0.01
20000,20,1,230,0.01
20000,20,1,240,0.01
20000,40,1,10,0
20000,40,1,20,0
20000,40,1,30,0
20000,40,1,40,0
20000,40,1,50,0
20000,40,1,60,0
20000,40,1,70,0
20000,40,1,80,0
20000,40,1,90,0
20000,40,1,100,0
20000,40,1,110,0
20000,40,1,120,0
20000,40,1,130,0
20000,40,1,140,0
20000,40,1,150,0
20000,40,1,160,0
20000,40,1,170,0
20000,40,1,180,0
20000,40,1,190,0
20000,40,1,200,0
20000,40,1,210,0
20000,40,1,220,0
20000,40,1,230,0
20000,40,1,240,0
20000,60,1,10,0
20000,60,1,20,0
20000,60,1,30,0
20000,60,1,40,0
20000,60,1,50,0
20000,60,1,60,0
20000,60,1,70,0
20000,60,1,80,0
20000,60,1,90,0
20000,60,1,100,0
20000,60,1,110,0
20000,60,1,120,0
20000,60,1,130,0
20000,60,1,140,0
20000,60,1,150,0
